month_date,hires,pct_of_baseline,usable
1984-09-01,541,2.6,TRUE
1984-10-01,274,1.3,TRUE
1984-11-01,171,0.8,TRUE
1984-12-01,105,0.5,TRUE
1985-01-01,2344,11.1,TRUE
1985-02-01,241,1.1,TRUE
1985-03-01,309,1.5,TRUE
1985-04-01,269,1.3,TRUE
1985-05-01,313,1.5,TRUE
1985-06-01,313,1.5,TRUE
1985-07-01,234,1.1,TRUE
1985-08-01,178,0.8,TRUE
1985-09-01,631,3,TRUE
1985-10-01,340,1.6,TRUE
1985-11-01,184,0.9,TRUE
1985-12-01,170,0.8,TRUE
1986-01-01,2234,10.6,TRUE
1986-02-01,307,1.5,TRUE
1986-03-01,317,1.5,TRUE
1986-04-01,365,1.7,TRUE
1986-05-01,293,1.4,TRUE
1986-06-01,356,1.7,TRUE
1986-07-01,229,1.1,TRUE
1986-08-01,212,1,TRUE
1986-09-01,786,3.7,TRUE
1986-10-01,363,1.7,TRUE
1986-11-01,256,1.2,TRUE
1986-12-01,206,1,TRUE
1987-01-01,2770,13.1,TRUE
1987-02-01,347,1.6,TRUE
1987-03-01,432,2,TRUE
1987-04-01,341,1.6,TRUE
1987-05-01,376,1.8,TRUE
1987-06-01,421,2,TRUE
1987-07-01,286,1.4,TRUE
1987-08-01,262,1.2,TRUE
1987-09-01,940,4.5,TRUE
1987-10-01,469,2.2,TRUE
1987-11-01,343,1.6,TRUE
1987-12-01,197,0.9,TRUE
1988-01-01,3077,14.6,TRUE
1988-02-01,418,2,TRUE
1988-03-01,444,2.1,TRUE
1988-04-01,377,1.8,TRUE
1988-05-01,417,2,TRUE
1988-06-01,490,2.3,TRUE
1988-07-01,339,1.6,TRUE
1988-08-01,318,1.5,TRUE
1988-09-01,1090,5.2,TRUE
1988-10-01,570,2.7,TRUE
1988-11-01,371,1.8,TRUE
1988-12-01,250,1.2,TRUE
1989-01-01,3917,18.6,TRUE
1989-02-01,494,2.3,TRUE
1989-03-01,588,2.8,TRUE
1989-04-01,532,2.5,TRUE
1989-05-01,577,2.7,TRUE
1989-06-01,731,3.5,TRUE
1989-07-01,350,1.7,TRUE
1989-08-01,334,1.6,TRUE
1989-09-01,1397,6.6,TRUE
1989-10-01,691,3.3,TRUE
1989-11-01,484,2.3,TRUE
1989-12-01,379,1.8,TRUE
1990-01-01,5887,27.9,TRUE
1990-02-01,539,2.6,TRUE
1990-03-01,680,3.2,TRUE
1990-04-01,624,3,TRUE
1990-05-01,642,3,TRUE
1990-06-01,779,3.7,TRUE
1990-07-01,433,2.1,TRUE
1990-08-01,442,2.1,TRUE
1990-09-01,1682,8,TRUE
1990-10-01,731,3.5,TRUE
1990-11-01,509,2.4,TRUE
1990-12-01,351,1.7,TRUE
1991-01-01,4571,21.7,TRUE
1991-02-01,626,3,TRUE
1991-03-01,690,3.3,TRUE
1991-04-01,600,2.8,TRUE
1991-05-01,672,3.2,TRUE
1991-06-01,831,3.9,TRUE
1991-07-01,548,2.6,TRUE
1991-08-01,406,1.9,TRUE
1991-09-01,1685,8,TRUE
1991-10-01,793,3.8,TRUE
1991-11-01,543,2.6,TRUE
1991-12-01,367,1.7,TRUE
1992-01-01,5835,27.6,TRUE
1992-02-01,893,4.2,TRUE
1992-03-01,949,4.5,TRUE
1992-04-01,839,4,TRUE
1992-05-01,848,4,TRUE
1992-06-01,1017,4.8,TRUE
1992-07-01,635,3,TRUE
1992-08-01,516,2.4,TRUE
1992-09-01,1932,9.2,TRUE
1992-10-01,951,4.5,TRUE
1992-11-01,690,3.3,TRUE
1992-12-01,472,2.2,TRUE
1993-01-01,5976,28.3,TRUE
1993-02-01,836,4,TRUE
1993-03-01,1161,5.5,TRUE
1993-04-01,873,4.1,TRUE
1993-05-01,943,4.5,TRUE
1993-06-01,1123,5.3,TRUE
1993-07-01,709,3.4,TRUE
1993-08-01,607,2.9,TRUE
1993-09-01,2391,11.3,TRUE
1993-10-01,1113,5.3,TRUE
1993-11-01,773,3.7,TRUE
1993-12-01,427,2,TRUE
1994-01-01,6427,30.5,TRUE
1994-02-01,986,4.7,TRUE
1994-03-01,1131,5.4,TRUE
1994-04-01,1250,5.9,TRUE
1994-05-01,952,4.5,TRUE
1994-06-01,1176,5.6,TRUE
1994-07-01,780,3.7,TRUE
1994-08-01,609,2.9,TRUE
1994-09-01,2489,11.8,TRUE
1994-10-01,1190,5.6,TRUE
1994-11-01,902,4.3,TRUE
1994-12-01,576,2.7,TRUE
1995-01-01,8021,38,TRUE
1995-02-01,1111,5.3,TRUE
1995-03-01,1357,6.4,TRUE
1995-04-01,1218,5.8,TRUE
1995-05-01,1445,6.8,TRUE
