rcid,total_postings,n_years,first_year,last_year
20422,172,7,2020,2026
1406814,172,6,2021,2026
7636690,172,4,2022,2025
23406126,172,6,2021,2026
49748870,172,3,2024,2026
94428655,172,4,2023,2026
1319584,171,6,2021,2026
4137094,171,3,2022,2024
22754955,171,3,2023,2026
102452261,171,2,2024,2025
1093338,170,6,2021,2026
1184244,170,2,2024,2025
185897,169,6,2021,2026
222132,169,6,2020,2025
582313,169,3,2024,2026
583473,169,4,2022,2025
789371,169,7,2020,2026
970845,169,7,2020,2026
12664049,169,6,2021,2026
22180268,169,5,2021,2025
25706261,169,7,2020,2026
560591,168,9,2018,2026
601111,168,6,2021,2026
665603,168,5,2021,2025
3682540,168,7,2018,2026
5212240,168,5,2022,2026
6952531,168,6,2021,2026
341573,167,7,2020,2026
1164198,167,6,2021,2026
1372296,167,7,2020,2026
1487851,167,6,2021,2026
1673520,167,5,2022,2026
4632021,167,1,2025,2025
7780178,167,7,2020,2026
26648106,167,2,2024,2025
392937,166,7,2020,2026
5828033,166,1,2023,2023
23760109,166,1,2023,2023
99069160,166,4,2023,2026
408724,165,6,2021,2026
451551,165,5,2021,2025
882528,165,5,2022,2026
22151064,165,4,2023,2026
7237568,164,5,2022,2026
247928,163,6,2021,2026
997744,163,4,2023,2026
1057604,163,7,2020,2026
1211388,163,6,2021,2026
4761795,163,6,2021,2026
5122832,163,7,2020,2026
18579758,163,5,2022,2026
27897133,163,7,2020,2026
96296933,163,5,2022,2026
137861,162,5,2022,2026
344989,162,5,2021,2025
425643,162,6,2020,2025
5359083,162,1,2025,2025
26538033,162,6,2020,2026
98752274,162,3,2024,2026
102115757,162,5,2022,2026
4428872,161,7,2020,2026
6671398,161,6,2021,2026
20333791,161,7,2020,2026
22789553,161,3,2022,2025
245774,160,5,2021,2026
574320,160,6,2020,2026
11319781,160,7,2020,2026
21789805,160,7,2020,2026
361294,159,4,2022,2025
987964,159,5,2022,2026
4846338,159,4,2023,2026
7221326,159,6,2021,2026
253152,158,5,2022,2026
2018197,158,7,2020,2026
2077166,158,6,2020,2025
6347267,158,5,2022,2026
331833,157,5,2022,2026
358589,157,6,2021,2026
5324810,157,6,2021,2026
92784263,157,5,2021,2025
93776908,157,5,2022,2026
740328,156,2,2024,2025
2954788,156,6,2021,2026
24035426,156,7,2020,2026
221175,155,7,2020,2026
521899,155,5,2022,2026
826107,155,5,2021,2025
462023,154,6,2020,2025
1086481,154,5,2022,2026
2327290,154,5,2022,2026
3550994,154,6,2021,2026
5191716,154,5,2022,2026
160174,153,7,2020,2026
1034308,153,3,2024,2026
1083697,153,6,2021,2026
5507891,153,6,2021,2026
5804314,153,5,2021,2025
7721540,153,7,2020,2026
22197520,153,4,2023,2026
550854,152,4,2022,2025
282992,151,5,2022,2026
738062,151,6,2020,2025
946234,151,3,2024,2026
1063578,151,6,2021,2026
1080992,151,3,2023,2025
1396619,151,7,2020,2026
2812108,151,5,2022,2026
7649337,151,4,2023,2026
1413816,150,3,2022,2025
13659604,150,6,2020,2025
69817,149,7,2020,2026
845422,149,6,2021,2026
883647,149,6,2020,2026
3197091,149,6,2021,2026
6159170,149,7,2020,2026
12334257,149,3,2024,2026
21776175,149,5,2022,2026
527069,148,4,2022,2025
2722935,148,6,2021,2026
374762,147,4,2022,2025
708051,147,4,2023,2026
81895,146,7,2020,2026
344364,146,7,2020,2026
1016034,146,6,2021,2026
1501743,146,5,2022,2026
5122887,146,7,2020,2026
5327631,146,5,2021,2025
17869070,146,7,2020,2026
92991356,146,2,2021,2022
405971,145,4,2022,2025
656788,145,4,2023,2026
1267310,145,5,2022,2026
1675107,145,6,2021,2026
2592631,145,7,2020,2026
6817056,145,5,2022,2026
27271,144,2,2022,2025
983733,144,7,2020,2026
1481923,144,2,2021,2022
5090971,144,7,2020,2026
8446780,144,5,2022,2026
93332260,144,4,2023,2026
98887508,144,2,2025,2026
1009367,143,2,2024,2025
2162071,143,5,2021,2025
4841911,143,6,2021,2026
19808330,143,4,2022,2025
22086644,143,6,2021,2026
166241,142,7,2020,2026
558472,142,6,2020,2025
994746,142,6,2021,2026
6279126,142,6,2021,2026
7156329,142,6,2021,2026
7868609,142,7,2020,2026
9984689,142,5,2022,2026
3773805,141,2,2024,2025
7728776,141,7,2020,2026
7947520,141,5,2022,2026
13357270,141,5,2022,2026
218,140,6,2020,2026
3655970,140,7,2020,2026
4288574,140,4,2021,2024
7609894,140,6,2020,2025
17591490,140,4,2023,2026
93486378,140,2,2024,2025
10230,139,6,2021,2026
1007314,139,6,2021,2026
1290088,139,6,2018,2026
1324546,139,7,2020,2026
4140380,139,6,2021,2026
618356,138,6,2021,2026
1035624,138,1,2025,2025
